Hour,Irradiance_Wm2,AmbientTemp_C,region,hour,panel_temp,energy_gain,cooling_cost,should_cool
2022060221,0.0,15.78,mount_vernon,21,14.81,0.0,0.0,0
2022060222,1.05,15.63,mount_vernon,22,15.3,0.0,0.0,0
2022060223,9.93,15.27,mount_vernon,23,15.32,0.0,0.0,0
2022060300,4.21,14.11,mount_vernon,0,12.56,0.0,0.0,0
2022060301,0.0,13.36,mount_vernon,1,11.03,0.0,0.0,0
2022060302,0.0,11.59,mount_vernon,2,11.6,0.0,0.0,0
2022060303,9.16,11.35,mount_vernon,3,9.95,0.0,0.0,0
2022060304,19.58,10.94,mount_vernon,4,12.33,0.0,0.0,0
2022060305,31.93,11.12,mount_vernon,5,10.43,0.0,0.0,0
2022060306,184.29,12.78,mount_vernon,6,19.67,0.0,0.0,0
2022060307,406.87,15.57,mount_vernon,7,26.27,0.0,0.0,0
2022060308,594.64,17.95,mount_vernon,8,34.76,0.0,0.0,0
2022060309,758.91,19.8,mount_vernon,9,43.86,0.0,0.0,0
2022060310,874.94,21.12,mount_vernon,10,48.45,0.0,0.0,0
2022060311,989.01,22.35,mount_vernon,11,52.6,4.069,2.353,1
2022060312,1000.76,24.04,mount_vernon,12,54.66,4.537,2.353,1
2022060313,967.98,23.99,mount_vernon,13,54.16,3.527,2.353,1
2022060314,864.44,24.65,mount_vernon,14,55.09,4.171,2.353,1
2022060315,692.02,25.2,mount_vernon,15,44.8,0.0,0.0,0
2022060316,524.46,24.08,mount_vernon,16,40.68,0.0,0.0,0
2022060317,377.84,22.78,mount_vernon,17,36.85,0.0,0.0,1
2022060318,187.26,21.15,mount_vernon,18,22.12,0.0,0.0,0
2022060319,48.26,17.77,mount_vernon,19,18.0,0.0,0.0,0
2022060320,0.08,16.92,mount_vernon,20,15.35,0.0,0.0,0
2022060321,9.34,16.4,mount_vernon,21,13.51,0.0,0.0,0
2022060322,23.27,14.7,mount_vernon,22,16.96,0.0,0.0,0
2022060323,1.01,13.95,mount_vernon,23,15.67,0.0,0.0,1
2022060400,15.88,12.03,mount_vernon,0,8.8,0.0,0.0,0
2022060401,0.0,13.0,mount_vernon,1,8.95,0.0,0.0,0
2022060402,0.0,11.48,mount_vernon,2,11.51,0.0,0.0,0
2022060403,0.0,11.21,mount_vernon,3,9.06,0.0,0.0,0
2022060404,0.0,11.09,mount_vernon,4,9.77,0.0,0.0,0
2022060405,25.01,10.74,mount_vernon,5,8.37,0.0,0.0,0
2022060406,184.3,13.02,mount_vernon,6,17.34,0.0,0.0,0
2022060407,385.44,15.0,mount_vernon,7,21.52,0.0,0.0,0
2022060408,602.8,17.38,mount_vernon,8,42.21,0.0,0.0,0
2022060409,781.79,18.64,mount_vernon,9,40.2,0.0,0.0,0
2022060410,917.98,21.14,mount_vernon,10,49.68,2.655,2.353,0
2022060411,995.4,21.44,mount_vernon,11,51.74,3.342,2.353,1
2022060412,976.82,22.98,mount_vernon,12,51.93,3.796,2.353,1
2022060413,960.47,23.08,mount_vernon,13,50.82,3.522,2.353,1
2022060414,868.32,23.44,mount_vernon,14,50.18,2.635,2.353,0
2022060415,701.76,22.37,mount_vernon,15,44.95,0.0,0.0,0
2022060416,506.98,21.66,mount_vernon,16,38.55,0.0,0.0,0
2022060417,294.85,20.86,mount_vernon,17,29.21,0.0,0.0,0
2022060418,163.94,18.97,mount_vernon,18,24.44,0.0,0.0,0
2022060419,44.32,16.12,mount_vernon,19,14.89,0.0,0.0,0
2022060420,17.52,14.02,mount_vernon,20,14.94,0.0,0.0,0
2022060421,0.0,13.61,mount_vernon,21,17.23,0.0,0.0,0
2022060422,0.0,12.05,mount_vernon,22,7.18,0.0,0.0,0
2022060423,0.0,12.07,mount_vernon,23,6.29,0.0,0.0,0
2022060500,0.0,11.84,mount_vernon,0,11.59,0.0,0.0,0
2022060501,0.0,10.93,mount_vernon,1,8.86,0.0,0.0,0
2022060502,7.18,11.14,mount_vernon,2,13.27,0.0,0.0,0
2022060503,0.0,10.42,mount_vernon,3,10.83,0.0,0.0,0
2022060504,6.2,11.38,mount_vernon,4,9.75,0.0,0.0,0
2022060505,3.75,11.05,mount_vernon,5,10.82,0.0,0.0,0
2022060506,124.84,12.53,mount_vernon,6,16.34,0.0,0.0,0
2022060507,271.01,15.04,mount_vernon,7,21.08,0.0,0.0,0
2022060508,424.57,17.85,mount_vernon,8,27.65,0.0,0.0,1
2022060509,606.99,19.76,mount_vernon,9,34.62,0.0,0.0,0
2022060510,664.66,22.83,mount_vernon,10,42.87,0.0,0.0,0
2022060511,870.95,22.9,mount_vernon,11,50.64,3.242,2.353,1
2022060512,949.97,23.26,mount_vernon,12,57.99,5.126,2.353,1
2022060513,938.67,24.22,mount_vernon,13,52.41,3.389,2.353,1
2022060514,818.63,25.64,mount_vernon,14,45.32,0.0,0.0,0
2022060515,745.65,24.24,mount_vernon,15,45.02,0.0,0.0,0
2022060516,549.04,25.44,mount_vernon,16,44.01,0.0,0.0,0
2022060517,327.96,23.61,mount_vernon,17,35.13,0.0,0.0,0
2022060518,157.99,23.03,mount_vernon,18,25.36,0.0,0.0,0
2022060519,36.36,18.54,mount_vernon,19,16.54,0.0,0.0,0
2022060520,0.0,15.63,mount_vernon,20,11.58,0.0,0.0,0
2022060521,9.09,15.77,mount_vernon,21,14.71,0.0,0.0,0
2022060522,1.71,15.58,mount_vernon,22,14.5,0.0,0.0,0
2022060523,0.0,15.39,mount_vernon,23,13.54,0.0,0.0,0
2022060600,2.94,14.19,mount_vernon,0,14.12,0.0,0.0,1
2022060601,0.0,14.63,mount_vernon,1,15.69,0.0,0.0,0
2022060602,0.0,14.13,mount_vernon,2,12.63,0.0,0.0,0
2022060603,0.39,14.19,mount_vernon,3,10.96,0.0,0.0,0
2022060604,0.0,15.65,mount_vernon,4,15.53,0.0,0.0,0
2022060605,21.57,14.48,mount_vernon,5,14.66,0.0,0.0,0
2022060606,82.98,17.17,mount_vernon,6,18.13,0.0,0.0,0
2022060607,185.62,18.82,mount_vernon,7,20.94,0.0,0.0,0
2022060608,262.3,21.13,mount_vernon,8,28.37,0.0,0.0,0
2022060609,441.72,22.59,mount_vernon,9,36.93,0.0,0.0,0
2022060610,516.54,22.06,mount_vernon,10,37.38,0.0,0.0,0
2022060611,656.75,20.65,mount_vernon,11,41.24,0.0,0.0,0
2022060612,756.19,20.38,mount_vernon,12,43.03,0.0,0.0,0
2022060613,698.81,21.19,mount_vernon,13,41.34,0.0,0.0,0
2022060614,562.56,22.71,mount_vernon,14,39.05,0.0,0.0,0
2022060615,316.21,22.66,mount_vernon,15,34.64,0.0,0.0,0
2022060616,287.49,23.19,mount_vernon,16,34.97,0.0,0.0,0
2022060617,155.71,20.8,mount_vernon,17,24.07,0.0,0.0,0
2022060618,99.48,19.7,mount_vernon,18,23.36,0.0,0.0,0
2022060619,8.94,19.47,mount_vernon,19,19.83,0.0,0.0,0
2022060620,0.0,18.77,mount_vernon,20,17.41,0.0,0.0,0
2022060621,17.84,19.58,mount_vernon,21,17.95,0.0,0.0,0
2022060622,3.04,18.02,mount_vernon,22,21.08,0.0,0.0,0
2022060623,26.94,18.9,mount_vernon,23,19.43,0.0,0.0,0
2022060700,0.0,18.29,mount_vernon,0,18.11,0.0,0.0,0
2022060701,26.92,18.48,mount_vernon,1,20.98,0.0,0.0,0
2022060702,10.23,19.37,mount_vernon,2,19.66,0.0,0.0,0
2022060703,0.0,18.71,mount_vernon,3,18.68,0.0,0.0,0
2022060704,0.0,17.95,mount_vernon,4,20.13,0.0,0.0,0
2022060705,1.77,17.66,mount_vernon,5,16.86,0.0,0.0,0
2022060706,70.85,18.2,mount_vernon,6,19.47,0.0,0.0,0
2022060707,185.89,18.7,mount_vernon,7,24.44,0.0,0.0,0
2022060708,285.13,19.45,mount_vernon,8,26.1,0.0,0.0,0
2022060709,315.58,22.69,mount_vernon,9,31.4,0.0,0.0,0
2022060710,400.38,22.1,mount_vernon,10,34.45,0.0,0.0,0
2022060711,501.72,23.43,mount_vernon,11,39.43,0.0,0.0,0
2022060712,580.4,24.15,mount_vernon,12,37.77,0.0,0.0,0
2022060713,454.67,24.31,mount_vernon,13,40.11,0.0,0.0,0
2022060714,511.31,25.08,mount_vernon,14,41.05,0.0,0.0,0
2022060715,390.47,24.45,mount_vernon,15,36.87,0.0,0.0,0
2022060716,337.77,23.78,mount_vernon,16,34.16,0.0,0.0,0
2022060717,214.81,21.28,mount_vernon,17,24.19,0.0,0.0,0
2022060718,106.06,21.01,mount_vernon,18,24.73,0.0,0.0,0
2022060719,32.83,19.06,mount_vernon,19,16.84,0.0,0.0,1
2022060720,3.13,16.0,mount_vernon,20,15.55,0.0,0.0,0
2022060721,0.0,16.8,mount_vernon,21,16.88,0.0,0.0,0
2022060722,20.99,15.7,mount_vernon,22,15.41,0.0,0.0,0
2022060723,0.0,15.35,mount_vernon,23,14.16,0.0,0.0,0
2022060800,31.13,14.27,mount_vernon,0,18.59,0.0,0.0,0
2022060801,2.97,14.19,mount_vernon,1,13.67,0.0,0.0,0
2022060802,0.0,15.04,mount_vernon,2,18.15,0.0,0.0,0
2022060803,6.54,14.11,mount_vernon,3,12.16,0.0,0.0,0
2022060804,5.99,13.82,mount_vernon,4,12.53,0.0,0.0,0
2022060805,56.86,13.18,mount_vernon,5,16.4,0.0,0.0,0
2022060806,177.26,14.98,mount_vernon,6,20.46,0.0,0.0,0
2022060807,328.1,16.02,mount_vernon,7,25.99,0.0,0.0,0
2022060808,537.17,19.88,mount_vernon,8,37.08,0.0,0.0,0
2022060809,708.61,20.78,mount_vernon,9,39.23,0.0,0.0,0
2022060810,774.08,22.54,mount_vernon,10,46.29,0.0,0.0,0
2022060811,849.33,24.12,mount_vernon,11,49.03,2.288,2.353,0
2022060812,824.17,24.36,mount_vernon,12,48.2,0.0,0.0,0
2022060813,883.85,24.95,mount_vernon,13,51.77,3.078,2.353,1
2022060814,594.29,25.04,mount_vernon,14,43.71,0.0,0.0,0
2022060815,377.51,25.51,mount_vernon,15,37.32,0.0,0.0,0
2022060816,267.0,24.34,mount_vernon,16,32.45,0.0,0.0,0
2022060817,140.8,23.32,mount_vernon,17,27.12,0.0,0.0,0
2022060818,113.1,20.98,mount_vernon,18,24.87,0.0,0.0,0
2022060819,27.78,19.01,mount_vernon,19,17.0,0.0,0.0,0
2022060820,0.0,17.58,mount_vernon,20,17.38,0.0,0.0,0
2022060821,6.33,16.96,mount_vernon,21,13.5,0.0,0.0,0
2022060822,0.0,15.25,mount_vernon,22,14.42,0.0,0.0,0
2022060823,0.23,14.29,mount_vernon,23,9.64,0.0,0.0,0
2022060900,24.63,15.4,mount_vernon,0,14.23,0.0,0.0,0
2022060901,33.79,14.01,mount_vernon,1,10.9,0.0,0.0,0
2022060902,8.92,14.76,mount_vernon,2,16.19,0.0,0.0,0
2022060903,4.22,13.4,mount_vernon,3,12.24,0.0,0.0,0
2022060904,2.7,13.88,mount_vernon,4,14.72,0.0,0.0,0
2022060905,0.0,13.22,mount_vernon,5,11.01,0.0,0.0,0
2022060906,38.08,13.96,mount_vernon,6,13.9,0.0,0.0,0
2022060907,176.67,15.16,mount_vernon,7,20.54,0.0,0.0,0
2022060908,272.69,17.52,mount_vernon,8,22.39,0.0,0.0,0
2022060909,431.13,17.63,mount_vernon,9,30.73,0.0,0.0,0
2022060910,534.13,19.2,mount_vernon,10,35.48,0.0,0.0,0
2022060911,718.83,19.44,mount_vernon,11,38.27,0.0,0.0,0
2022060912,777.29,21.21,mount_vernon,12,47.82,0.0,0.0,0
2022060913,601.98,21.15,mount_vernon,13,42.81,0.0,0.0,0
2022060914,736.99,20.29,mount_vernon,14,41.92,0.0,0.0,0
2022060915,577.26,19.73,mount_vernon,15,33.33,0.0,0.0,0
2022060916,503.37,19.07,mount_vernon,16,37.44,0.0,0.0,0
2022060917,329.49,19.94,mount_vernon,17,28.09,0.0,0.0,0
2022060918,155.12,19.52,mount_vernon,18,25.16,0.0,0.0,0
2022060919,40.69,17.79,mount_vernon,19,18.56,0.0,0.0,0
2022060920,2.0,15.54,mount_vernon,20,16.97,0.0,0.0,0
2022060921,14.35,14.15,mount_vernon,21,15.02,0.0,0.0,0
2022060922,0.0,14.71,mount_vernon,22,14.3,0.0,0.0,0
2022060923,0.0,13.43,mount_vernon,23,15.29,0.0,0.0,0
2022061000,0.42,13.24,mount_vernon,0,15.22,0.0,0.0,0
2022061001,7.12,13.0,mount_vernon,1,14.07,0.0,0.0,0
2022061002,0.0,11.56,mount_vernon,2,10.22,0.0,0.0,0
2022061003,7.95,10.6,mount_vernon,3,9.6,0.0,0.0,0
2022061004,0.0,11.51,mount_vernon,4,10.33,0.0,0.0,0
2022061005,30.56,11.03,mount_vernon,5,10.35,0.0,0.0,0
2022061006,193.87,14.78,mount_vernon,6,21.94,0.0,0.0,0
2022061007,341.96,15.11,mount_vernon,7,24.79,0.0,0.0,0
2022061008,527.35,17.41,mount_vernon,8,32.0,0.0,0.0,0
2022061009,655.91,21.13,mount_vernon,9,42.62,0.0,0.0,0
2022061010,678.37,21.93,mount_vernon,10,41.14,0.0,0.0,0
2022061011,731.28,23.63,mount_vernon,11,44.72,0.0,0.0,0
2022061012,698.72,23.34,mount_vernon,12,46.48,0.0,0.0,0
2022061013,632.03,22.59,mount_vernon,13,41.99,0.0,0.0,0
2022061014,654.73,21.93,mount_vernon,14,46.36,1.251,2.353,0
2022061015,584.17,22.01,mount_vernon,15,37.79,0.0,0.0,0
2022061016,486.67,22.37,mount_vernon,16,38.63,0.0,0.0,0
2022061017,263.73,21.18,mount_vernon,17,29.57,0.0,0.0,0
2022061018,137.23,18.79,mount_vernon,18,22.32,0.0,0.0,0
2022061019,33.01,16.18,mount_vernon,19,14.14,0.0,0.0,0
2022061020,30.84,14.81,mount_vernon,20,14.0,0.0,0.0,0
2022061021,0.0,15.4,mount_vernon,21,14.83,0.0,0.0,0
2022061022,9.94,15.73,mount_vernon,22,14.92,0.0,0.0,0
2022061023,0.0,14.83,mount_vernon,23,12.3,0.0,0.0,0
2022061100,4.63,14.96,mount_vernon,0,15.14,0.0,0.0,0
2022061101,39.03,14.35,mount_vernon,1,16.68,0.0,0.0,0
2022061102,0.0,13.08,mount_vernon,2,11.09,0.0,0.0,0
2022061103,8.83,13.65,mount_vernon,3,11.87,0.0,0.0,0
2022061104,0.0,12.94,mount_vernon,4,12.21,0.0,0.0,0
2022061105,35.77,13.54,mount_vernon,5,12.53,0.0,0.0,0
2022061106,127.17,15.85,mount_vernon,6,17.76,0.0,0.0,0
2022061107,342.95,18.57,mount_vernon,7,30.69,0.0,0.0,0
2022061108,456.68,19.46,mount_vernon,8,32.21,0.0,0.0,0
2022061109,665.8,20.4,mount_vernon,9,40.33,0.0,0.0,0
2022061110,834.75,22.49,mount_vernon,10,45.57,0.0,0.0,0
2022061111,867.46,22.78,mount_vernon,11,51.21,3.204,2.353,1
2022061112,758.94,22.22,mount_vernon,12,46.19,0.0,0.0,0
2022061113,784.57,23.16,mount_vernon,13,45.92,0.0,0.0,0
2022061114,703.62,23.5,mount_vernon,14,47.66,1.655,2.353,0
2022061115,508.86,22.49,mount_vernon,15,39.41,0.0,0.0,0
2022061116,360.98,20.98,mount_vernon,16,31.4,0.0,0.0,0
2022061117,244.91,20.18,mount_vernon,17,26.29,0.0,0.0,0
2022061118,79.24,19.53,mount_vernon,18,23.45,0.0,0.0,0
2022061119,15.16,17.07,mount_vernon,19,15.39,0.0,0.0,0
2022061120,4.4,16.28,mount_vernon,20,16.44,0.0,0.0,0
2022061121,0.0,16.4,mount_vernon,21,13.51,0.0,0.0,0
2022061122,6.43,16.91,mount_vernon,22,16.65,0.0,0.0,0
2022061123,0.0,16.85,mount_vernon,23,17.96,0.0,0.0,0
2022061200,0.31,16.21,mount_vernon,0,15.77,0.0,0.0,0
2022061201,20.62,16.33,mount_vernon,1,13.93,0.0,0.0,0
2022061202,0.0,15.79,mount_vernon,2,16.75,0.0,0.0,0
2022061203,0.0,16.42,mount_vernon,3,17.55,0.0,0.0,0
2022061204,13.79,16.18,mount_vernon,4,19.16,0.0,0.0,0
2022061205,36.18,16.76,mount_vernon,5,15.01,0.0,0.0,0
2022061206,84.63,17.32,mount_vernon,6,17.39,0.0,0.0,0
2022061207,185.4,19.16,mount_vernon,7,26.33,0.0,0.0,0
2022061208,268.46,21.24,mount_vernon,8,29.02,0.0,0.0,0
2022061209,513.31,23.12,mount_vernon,9,39.69,0.0,0.0,0
2022061210,733.03,25.23,mount_vernon,10,45.42,0.0,0.0,0
2022061211,648.63,26.49,mount_vernon,11,46.21,0.0,0.0,0
2022061212,599.39,26.46,mount_vernon,12,43.73,0.0,0.0,0
2022061213,617.26,27.47,mount_vernon,13,45.19,0.0,0.0,0
2022061214,593.43,27.71,mount_vernon,14,45.07,0.0,0.0,0
2022061215,438.42,27.2,mount_vernon,15,37.16,0.0,0.0,0
2022061216,235.78,26.13,mount_vernon,16,33.02,0.0,0.0,0
2022061217,156.54,25.68,mount_vernon,17,34.2,0.0,0.0,0
2022061218,33.61,24.71,mount_vernon,18,23.58,0.0,0.0,0
2022061219,12.87,22.96,mount_vernon,19,21.71,0.0,0.0,0
2022061220,0.0,22.18,mount_vernon,20,19.8,0.0,0.0,0
2022061221,12.12,21.31,mount_vernon,21,20.97,0.0,0.0,0
2022061222,0.0,20.76,mount_vernon,22,21.32,0.0,0.0,0
2022061223,25.66,20.93,mount_vernon,23,23.96,0.0,0.0,0
2022061300,14.63,20.63,mount_vernon,0,20.69,0.0,0.0,0
2022061301,15.02,20.16,mount_vernon,1,22.03,0.0,0.0,0
2022061302,24.6,20.05,mount_vernon,2,20.81,0.0,0.0,0
2022061303,0.0,19.89,mount_vernon,3,19.88,0.0,0.0,0
2022061304,0.0,19.08,mount_vernon,4,17.65,0.0,0.0,0
2022061305,25.92,19.06,mount_vernon,5,18.78,0.0,0.0,0
2022061306,132.48,21.34,mount_vernon,6,25.35,0.0,0.0,0
2022061307,298.53,24.5,mount_vernon,7,32.15,0.0,0.0,0
2022061308,467.19,25.77,mount_vernon,8,38.32,0.0,0.0,0
2022061309,602.24,26.39,mount_vernon,9,45.76,0.0,0.0,1
2022061310,802.2,28.42,mount_vernon,10,56.54,3.832,2.353,1
2022061311,863.23,29.19,mount_vernon,11,53.07,3.689,2.353,1
2022061312,856.13,30.23,mount_vernon,12,53.91,3.357,2.353,1
2022061313,651.06,30.95,mount_vernon,13,50.78,1.856,2.353,0
2022061314,677.04,30.57,mount_vernon,14,51.22,2.231,2.353,0
2022061315,598.23,30.11,mount_vernon,15,46.23,0.0,0.0,0
2022061316,378.01,31.3,mount_vernon,16,40.26,0.0,0.0,0
2022061317,256.39,30.01,mount_vernon,17,37.17,0.0,0.0,0
2022061318,141.64,26.7,mount_vernon,18,32.63,0.0,0.0,0
2022061319,36.52,25.17,mount_vernon,19,27.63,0.0,0.0,0
2022061320,0.0,24.56,mount_vernon,20,20.17,0.0,0.0,0
2022061321,0.0,24.07,mount_vernon,21,23.59,0.0,0.0,1
2022061322,8.19,24.22,mount_vernon,22,23.56,0.0,0.0,1
2022061323,0.0,24.52,mount_vernon,23,27.28,0.0,0.0,0
2022061400,10.45,23.92,mount_vernon,0,25.12,0.0,0.0,0
2022061401,5.54,21.89,mount_vernon,1,19.0,0.0,0.0,0
2022061402,9.57,21.7,mount_vernon,2,18.01,0.0,0.0,0
2022061403,0.0,19.66,mount_vernon,3,20.29,0.0,0.0,0
2022061404,0.0,20.04,mount_vernon,4,21.31,0.0,0.0,0
2022061405,36.43,21.38,mount_vernon,5,19.17,0.0,0.0,0
2022061406,74.99,20.85,mount_vernon,6,23.62,0.0,0.0,0
2022061407,137.63,21.99,mount_vernon,7,25.51,0.0,0.0,0
2022061408,203.84,22.98,mount_vernon,8,27.4,0.0,0.0,0
2022061409,379.35,25.33,mount_vernon,9,36.52,0.0,0.0,0
2022061410,380.29,26.53,mount_vernon,10,36.76,0.0,0.0,0
2022061411,441.93,27.78,mount_vernon,11,34.77,0.0,0.0,0
2022061412,439.34,28.96,mount_vernon,12,40.7,0.0,0.0,0
2022061413,435.13,29.49,mount_vernon,13,43.67,0.0,0.0,0
2022061414,487.63,29.68,mount_vernon,14,45.53,0.0,0.0,0
2022061415,560.89,29.69,mount_vernon,15,45.33,0.0,0.0,0
2022061416,489.84,29.51,mount_vernon,16,40.91,0.0,0.0,0
2022061417,335.3,29.03,mount_vernon,17,37.63,0.0,0.0,0
2022061418,179.49,27.91,mount_vernon,18,32.65,0.0,0.0,0
2022061419,2.14,26.81,mount_vernon,19,24.08,0.0,0.0,0
2022061420,27.01,25.4,mount_vernon,20,26.3,0.0,0.0,0
2022061421,0.0,24.94,mount_vernon,21,30.25,0.0,0.0,0
2022061422,0.0,24.13,mount_vernon,22,21.95,0.0,0.0,0
2022061423,2.29,23.98,mount_vernon,23,23.1,0.0,0.0,0
2022061500,0.0,23.66,mount_vernon,0,19.7,0.0,0.0,0
2022061501,0.0,24.01,mount_vernon,1,23.16,0.0,0.0,0
2022061502,0.0,23.49,mount_vernon,2,26.33,0.0,0.0,0
2022061503,13.89,23.37,mount_vernon,3,23.76,0.0,0.0,0
2022061504,0.0,22.55,mount_vernon,4,21.91,0.0,0.0,0
2022061505,38.17,22.27,mount_vernon,5,22.01,0.0,0.0,0
2022061506,166.21,23.33,mount_vernon,6,30.28,0.0,0.0,0
2022061507,310.74,25.26,mount_vernon,7,32.06,0.0,0.0,0
2022061508,467.54,26.13,mount_vernon,8,39.53,0.0,0.0,0
2022061509,625.2,27.21,mount_vernon,9,45.7,0.0,0.0,1
2022061510,790.19,27.96,mount_vernon,10,46.74,0.0,0.0,0
2022061511,916.23,32.46,mount_vernon,11,61.17,5.161,2.353,1
2022061512,955.83,32.66,mount_vernon,12,63.69,6.737,2.353,1
2022061513,923.85,31.69,mount_vernon,13,63.14,6.395,2.353,1
2022061514,843.05,31.1,mount_vernon,14,56.62,4.092,2.353,1
2022061515,721.49,30.79,mount_vernon,15,48.93,2.337,2.353,0
2022061516,556.56,30.43,mount_vernon,16,45.0,0.0,0.0,0
2022061517,362.37,28.83,mount_vernon,17,39.43,0.0,0.0,0
2022061518,176.66,27.28,mount_vernon,18,31.63,0.0,0.0,0
2022061519,44.15,25.41,mount_vernon,19,30.77,0.0,0.0,0
2022061520,30.35,24.96,mount_vernon,20,24.32,0.0,0.0,0
2022061521,0.0,24.33,mount_vernon,21,23.72,0.0,0.0,0
2022061522,0.0,25.05,mount_vernon,22,21.2,0.0,0.0,0
2022061523,6.93,24.51,mount_vernon,23,23.63,0.0,0.0,0
2022061600,10.8,23.25,mount_vernon,0,20.83,0.0,0.0,1
2022061601,7.09,23.0,mount_vernon,1,23.95,0.0,0.0,0
2022061602,0.0,23.27,mount_vernon,2,27.29,0.0,0.0,0
2022061603,0.0,22.61,mount_vernon,3,24.66,0.0,0.0,0
2022061604,0.0,23.21,mount_vernon,4,21.0,0.0,0.0,0
2022061605,43.41,22.99,mount_vernon,5,22.1,0.0,0.0,0
2022061606,161.32,24.62,mount_vernon,6,29.22,0.0,0.0,0
2022061607,341.12,25.28,mount_vernon,7,31.94,0.0,0.0,0
2022061608,497.89,27.98,mount_vernon,8,39.75,0.0,0.0,0
2022061609,667.4,27.04,mount_vernon,9,47.08,0.0,0.0,0
2022061610,748.95,29.84,mount_vernon,10,49.05,2.395,2.353,0
2022061611,836.32,29.54,mount_vernon,11,54.29,3.642,2.353,1
2022061612,706.24,29.47,mount_vernon,12,52.23,2.691,2.353,0
2022061613,650.79,29.49,mount_vernon,13,50.19,1.821,2.353,0
2022061614,565.34,29.54,mount_vernon,14,50.57,1.692,2.353,0
2022061615,516.63,28.56,mount_vernon,15,46.08,0.0,0.0,0
2022061616,421.16,27.74,mount_vernon,16,39.36,0.0,0.0,0
2022061617,279.37,28.23,mount_vernon,17,37.66,0.0,0.0,0
2022061618,151.54,27.47,mount_vernon,18,33.59,0.0,0.0,0
2022061619,23.32,26.3,mount_vernon,19,27.5,0.0,0.0,0
2022061620,0.0,24.87,mount_vernon,20,25.68,0.0,0.0,1
2022061621,12.74,23.77,mount_vernon,21,22.4,0.0,0.0,0
2022061622,0.11,23.87,mount_vernon,22,25.0,0.0,0.0,0
2022061623,6.31,23.73,mount_vernon,23,21.77,0.0,0.0,0
2022061700,10.25,23.15,mount_vernon,0,24.53,0.0,0.0,0
